1,Team,Round,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Shots,Shots on Target,Shots on Target %,Goals/Shot,Goals/Shot on Target,Distance from goal,Shots from FK,PK made,PK attempted
53,Leverkusen,Matchweek 18,Home,W,3,1,Gladbach,2.1,0.6,55,9,4,44.4,0.22,0.5,17.1,0,1,1
54,Leverkusen,Matchweek 19,Away,D,2,2,RB Leipzig,2.4,0.7,35,13,6,46.2,0.15,0.33,15.5,0,0,0
55,Leverkusen,Matchweek 20,Home,W,3,1,Hoffenheim,1.4,1.9,48,9,5,55.6,0.33,0.6,17,0,0,0
56,Leverkusen,Matchweek 21,Away,D,0,0,Wolfsburg,1.4,0.7,59,15,1,6.7,0,0,13.7,0,0,0
57,Leverkusen,Matchweek 22,Home,D,0,0,Bayern Munich,2,0,57,15,2,13.3,0,0,15.8,0,0,0
58,Leverkusen,Matchweek 23,Away,W,2,0,Holstein Kiel,1.8,0.3,62,18,7,38.9,0.11,0.29,13.9,1,0,0
59,Leverkusen,Matchweek 24,Away,W,4,1,Eint Frankfurt,2,1.1,59,20,9,45,0.2,0.44,15.1,0,0,0
60,Leverkusen,Matchweek 25,Home,L,0,2,Werder Bremen,1.6,1.1,72,18,4,22.2,0,0,16.8,1,0,0
61,Leverkusen,Matchweek 26,Away,W,4,3,Stuttgart,1.7,2.3,57,16,4,25,0.19,0.75,14.2,0,0,0
62,Leverkusen,Matchweek 27,Home,W,3,1,Bochum,2,0.5,66,14,5,35.7,0.21,0.6,19,0,0,0
63,Leverkusen,Matchweek 28,Away,W,1,0,Heidenheim,0.4,1,51,6,2,33.3,0.17,0.5,21.6,0,0,0
64,Leverkusen,Matchweek 29,Home,D,0,0,Union Berlin,0.8,0.5,74,17,4,23.5,0,0,18.5,1,0,0
65,Leverkusen,Matchweek 30,Away,D,1,1,St. Pauli,0.8,1.1,57,6,4,66.7,0.17,0.25,15.5,0,0,0
66,Leverkusen,Matchweek 31,Home,W,2,0,Augsburg,0.9,0.7,53,14,5,35.7,0.14,0.4,18.4,0,0,0
67,Leverkusen,Matchweek 32,Away,D,2,2,Freiburg,0.3,0.9,67,5,2,40,0.4,1,19.2,0,0,0
68,Leverkusen,Matchweek 33,Home,L,2,4,Dortmund,2.2,1.2,62,19,10,52.6,0.11,0.2,16.8,0,0,0
69,Leverkusen,Matchweek 34,Away,D,2,2,Mainz 05,1.2,3.1,52,6,3,50,0.17,0.33,16.9,0,1,1
70,Eintracht Frankfurt,Matchweek 1,Away,L,0,2,Dortmund,1.4,1.7,31,7,2,28.6,0,0,17,0,0,0
71,Eintracht Frankfurt,Matchweek 2,Home,W,3,1,Hoffenheim,2.4,1,50,18,7,38.9,0.17,0.43,15.5,0,0,0
72,Eintracht Frankfurt,Matchweek 3,Away,W,2,1,Wolfsburg,2.5,1.5,40,13,5,38.5,0.08,0.2,16.4,0,1,1
73,Eintracht Frankfurt,Matchweek 4,Home,W,2,0,Gladbach,2.7,1.7,37,18,4,22.2,0.11,0.5,16.2,2,0,0
74,Eintracht Frankfurt,Matchweek 5,Away,W,4,2,Holstein Kiel,2.1,1.1,53,20,10,50,0.2,0.4,14.6,0,0,0
75,Eintracht Frankfurt,Matchweek 6,Home,D,3,3,Bayern Munich,1.2,2.2,26,6,4,66.7,0.5,0.75,16.9,0,0,0
76,Eintracht Frankfurt,Matchweek 7,Away,L,1,2,Leverkusen,1.9,3.8,46,8,0,0,0,,18.8,0,1,1
77,Eintracht Frankfurt,Matchweek 8,Away,D,1,1,Union Berlin,1.5,1.4,52,17,5,29.4,0.06,0.2,17.4,1,0,0
78,Eintracht Frankfurt,Matchweek 9,Home,W,7,2,Bochum,3.5,1.8,64,18,9,50,0.39,0.78,17,2,0,0
79,Eintracht Frankfurt,Matchweek 10,Away,W,3,2,Stuttgart,1.3,2.5,40,8,5,62.5,0.38,0.6,16.6,1,0,0
80,Eintracht Frankfurt,Matchweek 11,Home,W,1,0,Werder Bremen,1.1,0.4,50,15,5,33.3,0.07,0.2,19.6,0,0,0
81,Eintracht Frankfurt,Matchweek 12,Away,W,4,0,Heidenheim,2.6,0.7,54,14,8,57.1,0.29,0.5,17.2,0,0,0
82,Eintracht Frankfurt,Matchweek 13,Home,D,2,2,Augsburg,1.7,0.6,66,16,4,25,0.13,0.5,16,0,0,0
83,Eintracht Frankfurt,Matchweek 14,Away,L,1,2,RB Leipzig,0.9,1.9,56,16,3,18.8,0.06,0.33,16.9,1,0,0
84,Eintracht Frankfurt,Matchweek 15,Home,L,1,3,Mainz 05,2.4,0.6,70,34,8,23.5,0.03,0.13,16.3,0,0,0
85,Eintracht Frankfurt,Matchweek 16,Away,W,1,0,St. Pauli,1.5,2.2,57,14,6,42.9,0.07,0.17,14.5,0,0,0
86,Eintracht Frankfurt,Matchweek 17,Home,W,4,1,Freiburg,2.4,0.5,64,23,8,34.8,0.17,0.5,16.1,1,0,0
87,Eintracht Frankfurt,Matchweek 18,Home,W,2,0,Dortmund,1.7,0.8,33,13,5,38.5,0.15,0.4,16.3,0,0,0
88,Eintracht Frankfurt,Matchweek 19,Away,D,2,2,Hoffenheim,2.4,2.4,49,11,6,54.5,0.09,0.17,15.3,0,1,1
